Account Name,Corporate Structure,Certified B Corp,State of Incorporation,Operating State/Province,Operating Country,Website
Klutch Sync LLC,Benefit LLC,FALSE,OR,,,
KMNetworks Inc.,Benefit Corporation,FALSE,NY,,,
KNF SERVICES CORP.,Benefit Corporation,FALSE,NY,,,
Kng Strategies Inc,Benefit Corporation,FALSE,NV,,,
Knight Cs LLC,Benefit LLC,FALSE,OR,,,
Knight Sounds Inc.,Benefit Corporation,FALSE,NV,,,
"Know And Start, Inc.",Benefit Corporation,FALSE,DE,,,
"Know Yourself, PBC",Benefit Corporation,FALSE,DE,California,United States,www.knowyourself.com
"Knowewell, P.B.C.",Benefit Corporation,FALSE,DE,,,
Knowledge Access Network Institute Inc,Benefit Corporation,FALSE,NV,,,
Kns Companies Inc,Benefit Corporation,FALSE,NV,,,
Knucklehedz Inc.,Benefit Corporation,FALSE,NV,,,
"Kobe Sumo House, Inc.",Benefit Corporation,FALSE,NH,New Hampshire,United States,
"Kokon, Inc.",Benefit Corporation,FALSE,DE,,,
"Koloa, Inc.",Benefit Corporation,FALSE,NV,,,
Kom Properties LLC,Benefit LLC,FALSE,OR,,,
Kona'Z Kustomz LLC,Benefit Corporation,FALSE,OR,,,
Koncep Usa Inc.,Benefit Corporation,FALSE,NV,,,
Kontrafy Productions LLC,Benefit LLC,FALSE,OR,,,
Koomsup & Von Hoetzendorff Inc.,Benefit Corporation,FALSE,NV,,,
"Korbmedia, LLC",Benefit LLC,FALSE,OR,,,
"Koru Usa, PBC",Benefit Corporation,FALSE,DE,,,
Kosbare International,Benefit Corporation,FALSE,MI,Michigan,United States,kosbarejewelers.com
"Koshoji, LLC",Benefit LLC,FALSE,OR,,,
"Kosmo Holdings, Inc.",Benefit Corporation,FALSE,NV,,,
Kozm Inc.,Benefit Corporation,TRUE,CA,California,United States,thekozm.com
"Kozy Real Estate Group, Inc",Benefit Corporation,FALSE,OR,,,
Kr Transport Inc,Benefit Corporation,FALSE,NV,,,
Krimson inc,Benefit Corporation,FALSE,NY,,,
"Krishi Janani, PBC",Benefit Corporation,FALSE,DE,,,www.krishijanani.org
Krishna Knowledge Services LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.kknowserve.com
Kristin Matheson LLC,Benefit LLC,FALSE,OR,,,
"Kristy Baker Psyd, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.smockvillecounseling.com
Krumholz Group,Benefit Corporation,FALSE,CO,,,
KSK LLC,Benefit LLC,FALSE,OR,,,
KSM Construction Corp,Benefit Corporation,FALSE,NY,,,
"KSN RENOVATIONS, INC",Benefit Corporation,FALSE,NY,,,
KT Corp,Benefit Corporation,FALSE,CO,,,
"Kuhv-It, Inc.",Benefit Corporation,FALSE,NV,,,
Kuli Kuli,Benefit Corporation,TRUE,DE,California,United States,www.kulikulifoods.com
"Kuli Kuli, Inc. Duplicate",Benefit Corporation,FALSE,DE,,,
Kush Cups Nv,Benefit Corporation,FALSE,NV,,,
"Kva Foods, LLC",Benefit LLC,FALSE,OR,,,
"Kwik Dry Clean Super Center - Centennial, Inc",Benefit Corporation,FALSE,CO,Colorado,United States,
Kwiksy Inc.,Benefit Corporation,FALSE,NV,,,
"Ky Services, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
"KZOOM, PBC",Benefit Corporation,FALSE,DE,,,
"L & B Courier Services, Inc.",Benefit Corporation,FALSE,OR,Oregon,United States,
L J & Sons Truckin Inc,Benefit Corporation,FALSE,CO,,,
L U Z . LLC,Benefit LLC,FALSE,OR,,,
L W Holdings Inc,Benefit Corporation,FALSE,CO,Colorado,United States,
L&H Inc.,Benefit Corporation,FALSE,NV,,,
"L&K Designs Art, Inc",Benefit Corporation,FALSE,NV,,,
L. Dunson Enterprises Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
"L.A. MAYS, INC.",Benefit Corporation,FALSE,NY,New York,United States,www.lamaysinc.com
L.I.P. Company,Benefit Corporation,FALSE,NV,,,
La Moule LLC,Benefit LLC,FALSE,OR,,,
La Vida Organics Inc.,Benefit Corporation,FALSE,NV,,,
La/Ny Skin LLC,Benefit LLC,FALSE,OR,Oregon,United States,lanyskin.com/
"Lab Scientific Solutions, Inc.",Benefit Corporation,FALSE,NV,,,
"Ladies Who Dine, Inc.",Benefit Corporation,FALSE,NV,,,
"Ladon Technologies, PBC",Benefit Corporation,FALSE,DE,,,
Lady Warriors LLC,Benefit LLC,FALSE,OR,,,
Lagom,Benefit Corporation,FALSE,NY,New York,United States,
Lagunas Enterprises Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Lai Brothers Inc.,Benefit Corporation,FALSE,NV,,,
Lakeview Hotels LLC,Benefit LLC,FALSE,OR,,,
Lals Auto Lots Incorporated,Benefit Corporation,FALSE,OR,,,
"Lanaid, LLC",Benefit LLC,FALSE,OR,Oregon,United States,
LAND OF SY INC,Benefit Corporation,FALSE,NY,,,
"Land Shepherds, Inc. - A Public Benefit Corporation",Benefit Corporation,FALSE,CO,Colorado,United States,
Landis Communication Incorporated,Benefit Corporation,FALSE,FL,Florida,,www.landis.media
LANDMARK HOUSE INC,Benefit Corporation,FALSE,NY,,,
Landscaping Relr LLC,Benefit LLC,FALSE,OR,,,
LaneSpotter,Benefit Corporation,FALSE,DE,Pennsylvania,United States,www.lanespotter.bike
Lanmai LLC,Benefit LLC,FALSE,OR,,,
Lara'S Cleaning Services LLC,Benefit LLC,FALSE,OR,,,
Larkin Horticultural Inc.,Benefit Corporation,FALSE,NH,,,
Las Delicias,Benefit Corporation,FALSE,CO,Colorado,United States,
Las Vegas Home-Pros Inc,Benefit Corporation,FALSE,NV,,,
Las Vegas Imports Inc,Benefit Corporation,FALSE,NV,,,
Las Vegas International Academy Of English -East Inc.,Benefit Corporation,FALSE,NV,,,
Las Vegas International Academy Of English -West Inc.,Benefit Corporation,FALSE,NV,,,
Las Vegas Janitorial Inc,Benefit Corporation,FALSE,NV,,,
Las Vegas West Rotary Charitable Foundation,Benefit Corporation,FALSE,NV,,,
"Lash Girl Club, Inc.",Benefit Corporation,FALSE,DE,,,
Latent Design,Benefit Corporation,FALSE,IL,Illinois,United States,www.latentdesign.net
Laugh Love and Learn Daycare Center INC,Benefit Corporation,FALSE,NY,,,
Laughing Buddhas LLC,Benefit LLC,FALSE,OR,,,
"Laughlin Property Solutions, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
"Launchpad: Maryland, Benefit LLC",Benefit LLC,FALSE,MD,Maryland,United States,
Launcht,Benefit Corporation,FALSE,VT,Massachusetts,United States,launcht.com
Lauras Beauty Salon Inc,Benefit Corporation,FALSE,NY,,,
Laureate Education,Benefit Corporation,TRUE,DE,Maryland,United States,www.laureate.net
Laureate Global Corporate Headquarters,Benefit Corporation,FALSE,DE,Maryland,United States,www.laureate.net
Lauriano Cleaning Services Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
"Law Office of John F. Durkin, Jr. P.C.",Benefit Corporation,FALSE,NH,New Hampshire,United States,
"Law Office Of Lara Pearson, Ltd.",Benefit Corporation,FALSE,NV,Nevada,United States,www.secur-ip.com
Law Office Of S. Don Bennion Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Law Offices Of Matthew Baysinger Inc,Benefit Corporation,FALSE,NV,,,
"Law Soup, Inc.",Benefit Corporation,FALSE,CA,California,United States,home.lawsoup.org
Lawrence Medical Inc,Benefit Corporation,FALSE,NV,,,
Lawrence Technology Solutions,Benefit Corporation,FALSE,NV,,,
Lay & Company Inc.,Benefit Corporation,FALSE,CO,Colorado,United States,
Lazy S Enterprises Inc,Benefit Corporation,FALSE,CO,,,
LBDT LLC,Benefit LLC,FALSE,OR,,,
Lbm Vapor Company,Benefit Corporation,FALSE,NV,,,
Lcm Consulting Inc.,Benefit Corporation,FALSE,NV,,,
LCN EXPEDITING CONSULTANTS SERVICES INC,Benefit Corporation,FALSE,NY,,,
Ldd Landscapie Maintenance LLC,Benefit LLC,FALSE,OR,,,
"Le Croissant, Inc.",Benefit Corporation,FALSE,UT,Utah,United States,www.lecroissantcatering.com
Le Sua Hue Lan LLC,Benefit LLC,FALSE,OR,,,
Leaf Of Faith Inc,Benefit Corporation,FALSE,NV,,,
"League Network, PBC",Benefit Corporation,FALSE,DE,New Jersey,United States,www.leaguenetwork.com
League of Allies,Benefit Corporation,FALSE,DE,Massachusetts,United States,www.TheETicket.com
"Leaping, Inc.",Benefit Corporation,FALSE,DE,,,
"Learners Guild, LTD",Benefit Corporation,FALSE,DE,California,United States,www.learnersguild.org
Learning For Life PBC,Benefit Corporation,FALSE,DE,Texas,United States,www.learningforlife.org
Learninglifetime PBC,Benefit Corporation,FALSE,DE,,,www.learninglifetime.com
Learnlife LLC,Benefit LLC,FALSE,OR,,,
LEE & SONG VEG INC,Benefit Corporation,FALSE,NY,,,
Leejr Trucking Inc.,Benefit Corporation,FALSE,CO,,,
Left Brain,Benefit Corporation,FALSE,MA,Massachusetts,United States,
Legacy Land Stewardship PBC,Benefit Corporation,FALSE,DE,Colorado,United States,legacy.land
"Legal Ease, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.legalease.com
Legal Evolution,Benefit Corporation,FALSE,DE,Illinois,United States,
Lehman Group Inc,Benefit Corporation,FALSE,CO,,,
Leia Stone LLC,Benefit LLC,FALSE,OR,,,
Leinl Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
"Lemonade, Inc.",Benefit Corporation,TRUE,DE,Israel,Israel,www.lemonade.com
"Leo Lion Club, Inc.",Benefit Corporation,FALSE,NY,,,
Leo'S Global Trading Group Inc.,Benefit Corporation,FALSE,NV,,,
"Leota Peak, LLC",Benefit LLC,FALSE,OR,,,
"Les Mills United States Trading, Inc.",Benefit Corporation,FALSE,CO,,,
Let my Body Heal Inc.,Benefit Corporation,FALSE,FL,,United States,www.letmybodyheal.com/
Let'S Wise Up LLC,Benefit LLC,FALSE,OR,,,
lettsgo Inc.,Benefit Corporation,FALSE,NY,,,
"Level Forward, Inc.",Benefit Corporation,FALSE,DE,,,
Levelup Academy LLC,Benefit Corporation,FALSE,OR,Minnesota,United States,
"Lever Energy Finance, PBC",Benefit Corporation,FALSE,DE,,,
Lew Leverenz Associates LLC,Benefit Corporation,FALSE,OR,,,
Lexalign PBC,Benefit Corporation,FALSE,DE,,,www.lexalign.com
LI Property Buyer Inc,Benefit Corporation,FALSE,NY,,,
Lib 7 Inc,Benefit Corporation,FALSE,OR,,,
Liberation Kilt Co.,Benefit Corporation,FALSE,VA,,,
Liberty Bin Services Inc,Benefit Corporation,FALSE,NH,,,
"Liberty Source, PBC",Benefit Corporation,FALSE,DE,Virginia,United States,liberty-source.com
LIBERTY WIRELESS COMMUNICATIONS INC,Benefit Corporation,FALSE,NY,,,
"Licensewell, Inc.",Benefit Corporation,FALSE,DE,,,
"LICO2E, GBC",Benefit Corporation,FALSE,MN,Minnesota,United States,
"Liem Vu D.D.S., Inc",Benefit Corporation,FALSE,NV,,,
Life Changing World Ministry Inc.,Benefit Corporation,FALSE,NV,,,
Life Empowefrment Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
"Life Enrichment Assistance, Inc.",Benefit Corporation,FALSE,NY,,,
"Life Extension Foundation Buyers Club, Inc.",Benefit Corporation,FALSE,NV,,,
Life Stylz Unisex Salon Inc,Benefit Corporation,FALSE,NY,,,
"Lifeguides, Pbc",Benefit Corporation,FALSE,DE,,,
Lifestart International PBC,Benefit Corporation,FALSE,DE,,,
"Lifetime Safe Income, Inc",Benefit Corporation,FALSE,CO,,,
LIFT Economy,Benefit Corporation,TRUE,CA,California,United States,www.LIFTeconomy.com
Lifted Lotus LLC,Benefit LLC,FALSE,OR,,,
Light Perspectives Inc.,Benefit Corporation,FALSE,CO,,,
Light Safe Technology LLC,Benefit LLC,FALSE,OR,,,
Lilypadsgs,Benefit Corporation,FALSE,CA,California,United States,www.lilypadsgs.com
Lincoln Hills Fly Fishing Club,Benefit Corporation,FALSE,CO,,,
"Linda L. Williams, M.D., P.C.",Benefit Corporation,FALSE,CO,Colorado,United States,
Ling Tang LLC,Benefit LLC,FALSE,OR,,,
Linnet Inc,Benefit Corporation,FALSE,NV,,,
"Lino'S Cleaning Services, Inc",Benefit Corporation,FALSE,NV,,,
Lionessess Of Africa Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,www.lionessesofafrica.com/contact
Liquid Carrot Corporation,Benefit Corporation,FALSE,DE,,,
"Liquid Democracy Technologies, PBC",Benefit Corporation,FALSE,DE,,,
Liquid Olives Marketing Inc.,Benefit Corporation,FALSE,NV,,,
Litigationstarter PBC,Benefit Corporation,FALSE,DE,,,
Little Bean Sprout,Benefit Corporation,FALSE,CA,California,United States,www.littlebeansprout.com
Little Birdy'S Sunflower Healing LLC,Benefit LLC,FALSE,OR,,,
"Little City, Inc.",Benefit Corporation,FALSE,UT,,,
Little Loft LLC,Benefit LLC,FALSE,OR,,,
Little Love Jar Inc.,Benefit Corporation,FALSE,PA,Pennsylvania,United States,
Little Professors Preschool LLC,Benefit LLC,FALSE,OR,,,
"Little Sisters Sweet Shop, Limited",Benefit Corporation,FALSE,OR,,,
"LITTLE SMILES DAY CARE, INC. OF SUFFOLK",Benefit Corporation,FALSE,NY,,,
Little Soul LLC,Benefit Corporation,FALSE,OR,,,
LITTLE SUNSHINE PLAYHOUSE GROUP OF FAMILY DAYCARE INC,Benefit Corporation,FALSE,NY,,,
Live Communications Group Inc.,Benefit Corporation,FALSE,NY,,,
Living From Nature Laboratories Incorporated,Benefit Corporation,FALSE,OR,,,
"Living My Way, Inc.",Benefit Corporation,FALSE,DE,,,
Living with Earth,Benefit Corporation,FALSE,MD,,,
"Llr Kyleah Foster, LLC",Benefit LLC,FALSE,OR,,,
Llynn Ventures Inc,Benefit Corporation,FALSE,CO,,,
LMS Wellness,Benefit LLC,FALSE,MD,,,
LMSM Technologies INC,Benefit Corporation,FALSE,NY,,,
LNRJ United PBC,Benefit Corporation,FALSE,DE,Massachusetts,United States,lnrjunited.com/about
Lo Equinox Healing Arts LLC,Benefit LLC,FALSE,OR,,,
Local Food Lab,Benefit Corporation,FALSE,CA,California,United States,
"Localmotive, P.B.C.",Benefit Corporation,FALSE,CO,,,
LOCK CONTRACTING NYC CORPORATION,Benefit Corporation,FALSE,NY,,,
"Loconomics, Inc.",Benefit Corporation,FALSE,CA,California,United States,loconomics.com
Locorum Capital Inc.,Benefit Corporation,FALSE,MA,,,
"Locus Labs Technologies, PBC",Benefit Corporation,FALSE,DE,,,
LOCZIwear,Benefit Corporation,FALSE,CA,California,United States,
Log Home Builders Association,Benefit Corporation,FALSE,DE,,,
Logic Continental Services LLC,Benefit LLC,FALSE,OR,,,
"Logisticorp Staffing, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
"Lokale Livet, Inc.",Benefit Corporation,FALSE,DE,,,
Loma Lux Laboratories Inc.,Benefit Corporation,FALSE,NH,New Hampshire,United States,
Londell Jackson Consulting Inc PBC,Benefit Corporation,FALSE,CO,Colorado,United States,
"Lone Gull Holdings, Ltd.",Benefit Corporation,FALSE,DE,,,
Lone Tree Learning Bridge Corporation,Benefit Corporation,FALSE,CO,,,
Long Island Cleaning /Rubbish Removal Incorporated,Benefit Corporation,FALSE,NY,,,
Longpath Labs Ltd.,Benefit Corporation,FALSE,DE,,,
Lopez Perfect Cleaning LLC,Benefit LLC,FALSE,OR,,,
Los Banditos LLC,Benefit LLC,FALSE,OR,,,
Los Tres Carnales Paleteria Y Fruteria LLC,Benefit LLC,FALSE,OR,,,
Lost Arrow Corporation,Benefit Corporation,FALSE,CA,California,United States,www.patagonia.com/us/home
"Lotus Farms, LLC",Benefit LLC,FALSE,OR,,,
Lotus Foods,Benefit Corporation,TRUE,CA,California,United States,www.lotusfoods.com
"Lousy Car, Inc. PBC",Benefit Corporation,FALSE,CO,Colorado,United States,
Love Grain Company,Benefit Corporation,FALSE,MA,Massachusetts,United States,lovegrain.co
Love N' Dogs LLC,Benefit LLC,FALSE,OR,,,
"Love To Nurture, Public Benefit Corporation",Benefit Corporation,FALSE,CO,,,
"Love Wtr, PBC",Benefit Corporation,FALSE,DE,,,
LoveBuilt Studio,Benefit Corporation,FALSE,FL,Florida,United States,www.lovebuiltstudio.com
"Loveland Gold And Silver, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
Loving Care Health Services Inc.,Benefit Corporation,FALSE,NV,,,
"LOVOY, INC.",Benefit Corporation,FALSE,NY,,,
"Loya Striping, Inc.",Benefit Corporation,FALSE,CO,,,
"LS Equipment, Inc.",Benefit Corporation,FALSE,NY,,,
Lsl Farm LLC,Benefit LLC,FALSE,OR,,,
Luca Marketing And Trade LLC,Benefit LLC,FALSE,OR,,,
Lucullan Co.,Benefit Corporation,FALSE,FL,,,
Luis Lujan Realty Inc.,Benefit Corporation,FALSE,CO,,,
Lumen Energy,Benefit Corporation,FALSE,VA,Virginia,United States,www.lumenenergy.com
Lumen Lighting Technologies LLC,Benefit LLC,FALSE,OR,,,
Lumine Essence Inc,Benefit Corporation,FALSE,NV,,,
Luminous Culture LLC,Benefit LLC,FALSE,OR,,,
Luna Dna Inc.,Benefit Corporation,FALSE,DE,,,
"Lund Davis, LLC",Benefit LLC,FALSE,OR,,,
Lung Biotechnology PBC,Benefit Corporation,FALSE,DE,Maryland,United States,lungbiotechnology.com
Lupiesoft LLC,Benefit LLC,FALSE,OR,,,
Lupita'S Cleaning LLC,Benefit LLC,FALSE,OR,,,
Luscious Garage,Benefit Corporation,TRUE,CA,California,United States,lusciousgarage.com
Lusty-Leaf Organics Inc,Benefit Corporation,FALSE,CT,,,
Luvozo PBC,Benefit Corporation,FALSE,DE,Delaware,United States,luvozo.com
Lux Salon & Beauty Bar LLC,Benefit Corporation,FALSE,OR,Oregon,United States,luxsalontacoma.com
"LUXURY ESSENCE NEW YORK, INC",Benefit Corporation,FALSE,NY,,,
Lv Power Washing Inc.,Benefit Corporation,FALSE,NV,,,
Lynke PBC,Benefit Corporation,FALSE,DE,,,
M & Executive,Benefit LLC,FALSE,MD,,,
M Chase Consulting Inc,Benefit Corporation,FALSE,NV,,,
M S Works Inc,Benefit Corporation,FALSE,NV,,,
M. K. Watu Inc.,Benefit Corporation,FALSE,AR,,,www.facebook.com/mkwatuinc
"M3 Construction, LLC",Benefit LLC,FALSE,OR,,,www.m3constructionllc.com/
Mace Corporation,Benefit Corporation,FALSE,NV,,,
Macfitness,Benefit Corporation,FALSE,MA,Massachusetts,United States,
MaCher USA,Benefit Corporation,TRUE,CA,California,United States,www.macher.com
"MAD Houz Software, Inc.",Benefit Corporation,FALSE,CO,,,
MadiDrop PBC,Benefit Corporation,FALSE,DE,Virginia,United States,www.madidrop.com
Madison Market Place Corp.,Benefit Corporation,FALSE,NY,,,
Magalas Pool Service,Benefit Corporation,FALSE,NV,Nevada,United States,
Maganti It Resources LLC,Benefit LLC,FALSE,OR,,,
"Magic Auto Spa, Inc.",Benefit Corporation,FALSE,NV,,,
Magic Dream Life LLC,Benefit LLC,FALSE,OR,,,
"MAGIC, PBC",Benefit Corporation,FALSE,DE,,,magicmakehers.com
Magnetic Argument Rotation System Energy Inc.,Benefit Corporation,FALSE,NY,,,
"Magnetoorganics, LLC",Benefit LLC,FALSE,OR,,,www.magnetoorganics.com/
Magnolia Family Clinic LLC,Benefit LLC,FALSE,OR,,,
Magnum Entertainment LLC.,Benefit Corporation,FALSE,OR,,,
Maiden In Heaven LLC,Benefit LLC,FALSE,OR,,,
MAIN ATTRACTION UNISEX INC,Benefit Corporation,FALSE,NY,,,
Main Street Restoration Inc.,Benefit Corporation,FALSE,NY,New York,United States,www.streetrestoration.com
Maine Sustains Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
"Mainstem Malt, LLC",Benefit LLC,FALSE,OR,,,
"Mairwen, LLC",Benefit LLC,FALSE,OR,,,
Majestic Care Inc,Benefit Corporation,FALSE,NV,,,
"Make it YOUR Business, Inc.",Benefit Corporation,FALSE,CA,California,United States,
Make/Creative Group NYC Inc.,Benefit Corporation,FALSE,NY,,,
Making Americans Sane Again Fund,Benefit Corporation,FALSE,DE,,,
Makve Solutions LLC,Benefit LLC,FALSE,OR,,,
Mal Warwick Donordigital,Benefit Corporation,TRUE,CA,California,United States,www.MWDagency.com
Malhi Motels Inc.,Benefit Corporation,FALSE,NV,,,
Mama Organic Market Benefit Corporation,Benefit Corporation,FALSE,MD,,United States,
Mamakai,Benefit Corporation,FALSE,CA,California,United States,www.mamakai.org
Manantiales Enterprises Inc,Benefit Corporation,FALSE,NV,,,
Manchester Braces PC,Benefit Corporation,FALSE,NH,Massachusetts,United States,
Mangrove Web Development,Benefit Corporation,TRUE,CA,California,United States,mangrove-web.com
Manitou Foreman Ltd.,Benefit Corporation,FALSE,CO,,,
Manna Las Vegas Inc.,Benefit Corporation,FALSE,NV,,,
"Mano Energy Company, PBC",Benefit Corporation,FALSE,DE,,,
"Manus Mitigation, Inc. PBC",Benefit Corporation,FALSE,CO,,,
Many Rivers Brewing Company PBC,Benefit Corporation,FALSE,CO,,,
Mappcat PBC,Benefit Corporation,FALSE,DE,,,
Maps Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,mapsbcorp.com
Marauder Sport Fishing LLC.,Benefit LLC,FALSE,OR,Oregon,United States,
Marble Technologies LLC,Benefit LLC,FALSE,OR,,,
Marblehead International Associates Corporation,Benefit Corporation,FALSE,NV,,,
Marc Industries Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Marceloluis Corporation,Benefit Corporation,FALSE,NV,,,
Margaret Carter & Associates LLC.,Benefit LLC,FALSE,OR,,,
Maria Guadalupe Services Limited Liability Company,Benefit LLC,FALSE,OR,,,
Mariachi LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.mariachicalavera.com
Marie Hill Inc.,Benefit Corporation,FALSE,MA,GAAFU ALIFU ATOLL,Maldives,mariehilleco.com
"Marine Construction Technologies, PBC",Benefit Corporation,FALSE,DE,Washington,United States,www.marinecontech.com
"Marine Technology Center, Ltd.",Benefit Corporation,FALSE,RI,Rhode Island,United States,www.marinetechnologycenter.org
Mark Leibowitz Photography Inc.,Benefit Corporation,TRUE,CA,California,United States,www.leibowitzpictures.com
Market Leader Trade Corp.,Benefit Corporation,FALSE,NV,,,
"Marketplace Bible International, PBC",Benefit Corporation,FALSE,DE,,,
Markis pharma ltd,Benefit Corporation,FALSE,NY,,,
Marquise Corporation,Benefit Corporation,FALSE,NV,,,
"Mart International, Inc.",Benefit Corporation,FALSE,NV,,,
"Martha'S Vineyard, Inc",Benefit Corporation,FALSE,CO,,,
"Maruti NH, Inc.",Benefit Corporation,FALSE,NH,,,
"Marvel Genomics PBC, Inc.",Benefit Corporation,FALSE,DE,,,
Marx Street Ventures LLC,Benefit LLC,FALSE,OR,,,
MAS Corp,Benefit Corporation,FALSE,CO,,,
Masao Inc,Benefit Corporation,FALSE,NV,,,
"Mason Consulting, Benefit LLC",Benefit LLC,FALSE,MD,Maryland,United States,
"Mason Consulting, LLC",Benefit LLC,FALSE,OR,,,
Mason's Inc,Benefit Corporation,FALSE,CO,,,
Mass Tile Distributors,Benefit Corporation,FALSE,MA,Massachusetts,United States,
Massage For Health Incorporated,Benefit Corporation,FALSE,OR,,,
Massif Games LLC,Benefit LLC,FALSE,OR,,,
Masten-Cain Consulting Inc.,Benefit Corporation,FALSE,DE,,,
"Material Mesh, Inc.",Benefit Corporation,FALSE,CA,New Jersey,United States,www.materials-inc.com
"Material Ventures, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,www.materialventuresinc.com
"Matilda'S Magnolias, Inc.",Benefit Corporation,FALSE,DE,,,
Matrix Labs inc,Benefit Corporation,FALSE,CO,,,
Matter | Design For Social Change,Benefit Corporation,FALSE,LA,Louisiana,United States,matternola.com
Matter Energy Management LLC.,Benefit Corporation,FALSE,OR,,,
Matthew Moran LLC,Benefit LLC,FALSE,OR,Oregon,United States,
"Matthew Whinery Md, P.C.",Benefit Corporation,FALSE,CO,,,
Matturisazon Inc.,Benefit Corporation,FALSE,OR,,,
"Maxwin Co., Ltd",Benefit Corporation,FALSE,NV,Nevada,United States,
Maya Research P.B.C.,Benefit Corporation,FALSE,DE,,,
Mayflower Auto Body LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.mayflowerautobody.com
Mazzetti,Benefit Corporation,FALSE,CA,California,United States,www.mazzetti.com
"MB Tech Consulting, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
Mbsslv Services Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Mc Remodeling Corporation,Benefit Corporation,FALSE,CO,,,
McCloud Advisors Inc.,Benefit Corporation,FALSE,FL,,,
Mckennon Urban LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Mckenzie Isabell Photography LLC,Benefit LLC,FALSE,OR,,,
Mckern Technologies LLC,Benefit LLC,FALSE,OR,,,
McKinnon USA Inc,Benefit Corporation,FALSE,NH,New Hampshire,United States,
Mcknight'S Cleaning Service Corporation,Benefit Corporation,FALSE,NV,,,
Md Nutrition PBC,Benefit Corporation,FALSE,DE,,,
Mdobject Inc.,Benefit Corporation,FALSE,NV,,,
Mdt Quality Tax Services Inc.,Benefit Corporation,FALSE,NV,,,
Mean Green Cream LLC,Benefit LLC,FALSE,OR,,,
"Meaningful Organization Design, Inc.",Benefit Corporation,FALSE,CA,,,
"Meaningful Organizational Design, Inc.",Benefit Corporation,TRUE,CA,California,United States,www.MODbenefit.com
"Med Care Choice Pharmacy, Inc.",Benefit Corporation,FALSE,PA,Pennsylvania,United States,
"Medcabnet, Inc.",Benefit Corporation,FALSE,DE,,,
"Medhaul, Inc.",Benefit Corporation,FALSE,DE,,,
"Media Bender, Inc.",Benefit Corporation,FALSE,OR,,,
"Medialusion Interactive, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,www.medialusions.com
"Medical Phone Answers, Inc.",Benefit Corporation,FALSE,CA,California,United States,
Medical Systems Installations Inc.,Benefit Corporation,FALSE,NV,,,
"Medical Therapeutics, Llc",Benefit Corporation,FALSE,CO,,,
Medicine Grounds LLC,Benefit LLC,FALSE,OR,,,
"Medicotek, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
MEDIGISTIX INC,Benefit Corporation,FALSE,NY,,,
"Medisun Farms, Inc.",Benefit Corporation,FALSE,OR,,,
Mediterranean Network Food LLC,Benefit LLC,FALSE,OR,,,
Medolac Laboratories,Benefit Corporation,FALSE,DE,Oregon,United States,www.medolac.com
Medquantive PBC,Benefit Corporation,FALSE,DE,,,medquantive.com
MEDSEI CORP.,Benefit Corporation,FALSE,NY,,,
Medtrick Inc.,Benefit Corporation,FALSE,NV,,,
"Medtronic Labs, PBC",Benefit Corporation,FALSE,DE,,,
Meihua Inc,Benefit Corporation,FALSE,NV,,,
Mel Cleaning Services LLC,Benefit LLC,FALSE,OR,,,
Melqart Inc.,Benefit Corporation,FALSE,NV,,,
"MELQUISEDEC2015, INC",Benefit Corporation,FALSE,NY,,,
Membee Maintenance Corp,Benefit Corporation,FALSE,NY,,,
Mendocinostyle,Benefit Corporation,FALSE,NV,,,
"Mentes Creativas Child Care, LLC",Benefit LLC,FALSE,OR,,,
Mentor Portland LLC,Benefit LLC,FALSE,OR,,,
Meow Wolf,Benefit Corporation,TRUE,DE,New Mexico,United States,meowwolf.com
Mercado Latino,Benefit Corporation,FALSE,CO,,,
"Merchant Lending Group, Inc.",Benefit Corporation,FALSE,NY,,,
Mercury Mine LLC,Benefit LLC,FALSE,OR,,,
"Mercy in Motion, Inc.",Benefit Corporation,FALSE,NY,,,
Mere Knit Inc.,Benefit Corporation,FALSE,DE,,,
"Merge4 Mfg, Inc",Benefit Corporation,TRUE,CA,California,United States,www.merge4.com
